subject	activity	domain	signal	feature	axis	valuetype	meanvalue	count
1	WALKING	Time	Body	AccelerationJerkMagnitude	NA	std	-0.515922167555159	347
1	WALKING	Time	Body	AccelerationMagnitude	NA	mean	-0.453632943768818	347
1	WALKING	Time	Body	AccelerationMagnitude	NA	std	-0.497096402038329	347
1	WALKING	Time	Body	AngularJerk	X	mean	-0.0971120197265994	347
1	WALKING	Time	Body	AngularJerk	X	std	-0.637812687210375	347
1	WALKING	Time	Body	AngularJerk	Y	mean	-0.0417164808293948	347
1	WALKING	Time	Body	AngularJerk	Y	std	-0.634472244550432	347
1	WALKING	Time	Body	AngularJerk	Z	mean	-0.0471393985477522	347
1	WALKING	Time	Body	AngularJerk	Z	std	-0.664591977786455	347
1	WALKING	Time	Body	AngularJerkMagnitude	NA	mean	-0.639517432642651	347
1	WALKING	Time	Body	AngularJerkMagnitude	NA	std	-0.652050770910663	347
1	WALKING	Time	Body	AngularVelocity	X	mean	-0.0208764064320173	347
1	WALKING	Time	Body	AngularVelocity	X	std	-0.686555715201729	347
1	WALKING	Time	Body	AngularVelocity	Y	mean	-0.0880722729400576	347
1	WALKING	Time	Body	AngularVelocity	Y	std	-0.450979810499568	347
1	WALKING	Time	Body	AngularVelocity	Z	mean	0.0862641666597983	347
1	WALKING	Time	Body	AngularVelocity	Z	std	-0.597496136795101	347
1	WALKING	Time	Body	AngularVelocityMagnitude	NA	mean	-0.475404785802305	347
1	WALKING	Time	Body	AngularVelocityMagnitude	NA	std	-0.499839593745821	347
1	WALKING	Time	Gravity	Acceleration	X	mean	0.744867411573487	347
1	WALKING	Time	Gravity	Acceleration	X	std	-0.959859435936599	347
1	WALKING	Time	Gravity	Acceleration	Y	mean	-0.0825562579855908	347
1	WALKING	Time	Gravity	Acceleration	Y	std	-0.951150627458213	347
1	WALKING	Time	Gravity	Acceleration	Z	mean	0.072339870389049	347
1	WALKING	Time	Gravity	Acceleration	Z	std	-0.925817590867435	347
1	WALKING	Time	Gravity	AccelerationMagnitude	NA	mean	-0.453632943768818	347
1	WALKING	Time	Gravity	AccelerationMagnitude	NA	std	-0.497096402038329	347
2	STANDING	Frequency	Body	Acceleration	X	mean	-0.57377091142947	302
2	STANDING	Frequency	Body	Acceleration	X	std	-0.619788102803311	302
2	STANDING	Frequency	Body	Acceleration	Y	mean	-0.432566581302351	302
2	STANDING	Frequency	Body	Acceleration	Y	std	-0.464723862913245	302
2	STANDING	Frequency	Body	Acceleration	Z	mean	-0.630081222124834	302
2	STANDING	Frequency	Body	Acceleration	Z	std	-0.600678614835099	302
2	STANDING	Frequency	Body	AccelerationJerk	X	mean	-0.561682049622185	302
2	STANDING	Frequency	Body	AccelerationJerk	X	std	-0.595105612895033	302
2	STANDING	Frequency	Body	AccelerationJerk	Y	mean	-0.50890379901457	302
2	STANDING	Frequency	Body	AccelerationJerk	Y	std	-0.509147543673841	302
2	STANDING	Frequency	Body	AccelerationJerk	Z	mean	-0.715745330403973	302
2	STANDING	Frequency	Body	AccelerationJerk	Z	std	-0.767087015496689	302
2	STANDING	Frequency	Body	AccelerationJerkMagnitude	NA	mean	-0.509746432970861	302
2	STANDING	Frequency	Body	AccelerationJerkMagnitude	NA	std	-0.518800797709272	302
2	STANDING	Frequency	Body	AccelerationMagnitude	NA	mean	-0.514569861316887	302
2	STANDING	Frequency	Body	AccelerationMagnitude	NA	std	-0.646662308457285	302
2	STANDING	Frequency	Body	AngularJerkMagnitude	NA	mean	-0.751615078360927	302
2	STANDING	Frequency	Body	AngularJerkMagnitude	NA	std	-0.744194981440397	302
2	STANDING	Frequency	Body	AngularVelocity	X	mean	-0.638717694593046	302
2	STANDING	Frequency	Body	AngularVelocity	X	std	-0.734588540182119	302
2	STANDING	Frequency	Body	AngularVelocity	Y	mean	-0.722068978635762	302
2	STANDING	Frequency	Body	AngularVelocity	Y	std	-0.72716774102649	302
2	STANDING	Frequency	Body	AngularVelocity	Z	mean	-0.601594889654305	302
2	STANDING	Frequency	Body	AngularVelocity	Z	std	-0.683114494539735	302
2	STANDING	Frequency	Body	AngularVelocityMagnitude	NA	mean	-0.699742945221854	302
2	STANDING	Frequency	Body	AngularVelocityMagnitude	NA	std	-0.725310337688742	302
2	STANDING	Time	Body	Acceleration	X	mean	0.273113115788079	302
2	STANDING	Time	Body	Acceleration	X	std	-0.605586497159271	302
2	STANDING	Time	Body	Acceleration	Y	mean	-0.0191323183174834	302
2	STANDING	Time	Body	Acceleration	Y	std	-0.428962986589404	302
2	STANDING	Time	Body	Acceleration	Z	mean	-0.115649958175497	302
2	STANDING	Time	Body	Acceleration	Z	std	-0.589360062210596	302
2	STANDING	Time	Body	AccelerationJerk	X	mean	0.0785353156747351	302
2	STANDING	Time	Body	AccelerationJerk	X	std	-0.557809603123841	302
2	STANDING	Time	Body	AccelerationJerk	Y	mean	0.00708771249764901	302
2	STANDING	Time	Body	AccelerationJerk	Y	std	-0.491875889831788	302
2	STANDING	Time	Body	AccelerationJerk	Z	mean	0.000755760748377483	302
2	STANDING	Time	Body	AccelerationJerk	Z	std	-0.741885388311258	302
2	STANDING	Time	Body	AccelerationJerkMagnitude	NA	mean	-0.58777744543543	302
2	STANDING	Time	Body	AccelerationJerkMagnitude	NA	std	-0.512115278415232	302
2	STANDING	Time	Body	AccelerationMagnitude	NA	mean	-0.535281800541722	302
2	STANDING	Time	Body	AccelerationMagnitude	NA	std	-0.552812545643709	302
2	STANDING	Time	Body	AngularJerk	X	mean	-0.0875587491668874	302
2	STANDING	Time	Body	AngularJerk	X	std	-0.671679103311258	302
2	STANDING	Time	Body	AngularJerk	Y	mean	-0.0433986835453642	302
2	STANDING	Time	Body	AngularJerk	Y	std	-0.783595466728477	302
2	STANDING	Time	Body	AngularJerk	Z	mean	-0.0557541828188742	302
2	STANDING	Time	Body	AngularJerk	Z	std	-0.674611933293046	302
2	STANDING	Time	Body	AngularJerkMagnitude	NA	mean	-0.746559539039735	302
2	STANDING	Time	Body	AngularJerkMagnitude	NA	std	-0.740088733655629	302
2	STANDING	Time	Body	AngularVelocity	X	mean	-0.0517030657821192	302
2	STANDING	Time	Body	AngularVelocity	X	std	-0.710648927815894	302
2	STANDING	Time	Body	AngularVelocity	Y	mean	-0.0568420186817881	302
2	STANDING	Time	Body	AngularVelocity	Y	std	-0.722943674337748	302
2	STANDING	Time	Body	AngularVelocity	Z	mean	0.0872599422291391	302
2	STANDING	Time	Body	AngularVelocity	Z	std	-0.634888927843046	302
2	STANDING	Time	Body	AngularVelocityMagnitude	NA	mean	-0.614771054893146	302
2	STANDING	Time	Body	AngularVelocityMagnitude	NA	std	-0.680584887880795	302
2	STANDING	Time	Gravity	Acceleration	X	mean	0.660782866688742	302
2	STANDING	Time	Gravity	Acceleration	X	std	-0.963015508245033	302
2	STANDING	Time	Gravity	Acceleration	Y	mean	-0.147219886910411	302
2	STANDING	Time	Gravity	Acceleration	Y	std	-0.960033560165563	302
2	STANDING	Time	Gravity	Acceleration	Z	mean	0.134865335090728	302
2	STANDING	Time	Gravity	Acceleration	Z	std	-0.945365383907285	302
2	STANDING	Time	Gravity	AccelerationMagnitude	NA	mean	-0.535281800541722	302
2	STANDING	Time	Gravity	AccelerationMagnitude	NA	std	-0.552812545643709	302
3	WALKING	Frequency	Body	Acceleration	X	mean	-0.625733289873607	341
3	WALKING	Frequency	Body	Acceleration	X	std	-0.623805015199413	341
3	WALKING	Frequency	Body	Acceleration	Y	mean	-0.501779938505279	341
3	WALKING	Frequency	Body	Acceleration	Y	std	-0.502753639795894	341
3	WALKING	Frequency	Body	Acceleration	Z	mean	-0.699656828592375	341
3	WALKING	Frequency	Body	Acceleration	Z	std	-0.657443765803519	341
3	WALKING	Frequency	Body	AccelerationJerk	X	mean	-0.645893496630499	341
3	WALKING	Frequency	Body	AccelerationJerk	X	std	-0.657844055881525	341
3	WALKING	Frequency	Body	AccelerationJerk	Y	mean	-0.582949919157742	341
3	WALKING	Frequency	Body	AccelerationJerk	Y	std	-0.559851186088408	341
3	WALKING	Frequency	Body	AccelerationJerk	Z	mean	-0.780101644193548	341
3	WALKING	Frequency	Body	AccelerationJerk	Z	std	-0.81080601659824	341
3	WALKING	Frequency	Body	AccelerationJerkMagnitude	NA	mean	-0.604752108072727	341
3	WALKING	Frequency	Body	AccelerationJerkMagnitude	NA	std	-0.615643694857361	341
3	WALKING	Frequency	Body	AccelerationMagnitude	NA	mean	-0.579076453758064	341
3	WALKING	Frequency	Body	AccelerationMagnitude	NA	std	-0.663079838985044	341
3	WALKING	Frequency	Body	AngularJerkMagnitude	NA	mean	-0.810085498651026	341
3	WALKING	Frequency	Body	AngularJerkMagnitude	NA	std	-0.810032718739003	341
3	WALKING	Frequency	Body	AngularVelocity	X	mean	-0.642097719778592	341
3	WALKING	Frequency	Body	AngularVelocity	X	std	-0.719276622702346	341
3	WALKING	Frequency	Body	AngularVelocity	Y	mean	-0.775144985073314	341
3	WALKING	Frequency	Body	AngularVelocity	Y	std	-0.758505287214076	341
3	WALKING	Frequency	Body	AngularVelocity	Z	mean	-0.670734708996481	341
3	WALKING	Frequency	Body	AngularVelocity	Z	std	-0.751008875659824	341
3	WALKING	Frequency	Body	AngularVelocityMagnitude	NA	mean	-0.716822144279179	341
3	WALKING	Frequency	Body	AngularVelocityMagnitude	NA	std	-0.703839403007038	341
3	WALKING	Time	Body	Acceleration	X	mean	0.273428719636364	341
3	WALKING	Time	Body	Acceleration	X	std	-0.623413602046921	341
3	WALKING	Time	Body	Acceleration	Y	mean	-0.017856067384956	341
3	WALKING	Time	Body	Acceleration	Y	std	-0.480015920697654	341
3	WALKING	Time	Body	Acceleration	Z	mean	-0.106492632429097	341
3	WALKING	Time	Body	Acceleration	Z	std	-0.653625579293255	341
3	WALKING	Time	Body	AccelerationJerk	X	mean	0.0701731261988856	341
3	WALKING	Time	Body	AccelerationJerk	X	std	-0.635484688041056	341
3	WALKING	Time	Body	AccelerationJerk	Y	mean	0.0144664329060411	341
3	WALKING	Time	Body	AccelerationJerk	Y	std	-0.55721186773783	341
3	WALKING	Time	Body	AccelerationJerk	Z	mean	-0.000526818872875366	341
3	WALKING	Time	Body	AccelerationJerk	Z	std	-0.796066240234604	341
3	WALKING	Time	Body	AccelerationJerkMagnitude	NA	mean	-0.650182434328446	341
3	WALKING	Time	Body	AccelerationJerkMagnitude	NA	std	-0.607658214170381	341
3	WALKING	Time	Body	AccelerationMagnitude	NA	mean	-0.563140802770059	341
3	WALKING	Time	Body	AccelerationMagnitude	NA	std	-0.591224780306452	341
3	WALKING	Time	Body	AngularJerk	X	mean	-0.0991554609633431	341
3	WALKING	Time	Body	AngularJerk	X	std	-0.689328428607038	341
3	WALKING	Time	Body	AngularJerk	Y	mean	-0.0401923943695015	341
3	WALKING	Time	Body	AngularJerk	Y	std	-0.842659862111437	341
3	WALKING	Time	Body	AngularJerk	Z	mean	-0.0521178264170088	341
3	WALKING	Time	Body	AngularJerk	Z	std	-0.743028500565982	341
3	WALKING	Time	Body	AngularJerkMagnitude	NA	mean	-0.784056656246334	341
3	WALKING	Time	Body	AngularJerkMagnitude	NA	std	-0.80366136372434	341
3	WALKING	Time	Body	AngularVelocity	X	mean	-0.0248490682828446	341
3	WALKING	Time	Body	AngularVelocity	X	std	-0.699262195705865	341
3	WALKING	Time	Body	AngularVelocity	Y	mean	-0.0743565308442815	341
3	WALKING	Time	Body	AngularVelocity	Y	std	-0.76302218170088	341
3	WALKING	Time	Body	AngularVelocity	Z	mean	0.0866875497119062	341
3	WALKING	Time	Body	AngularVelocity	Z	std	-0.709483440322581	341
3	WALKING	Time	Body	AngularVelocityMagnitude	NA	mean	-0.643150121648094	341
3	WALKING	Time	Body	AngularVelocityMagnitude	NA	std	-0.674010290979472	341
3	WALKING	Time	Gravity	Acceleration	X	mean	0.707814353343108	341
3	WALKING	Time	Gravity	Acceleration	X	std	-0.966457565630499	341
3	WALKING	Time	Gravity	Acceleration	Y	mean	-0.0260590480328739	341
3	WALKING	Time	Gravity	Acceleration	Y	std	-0.9445645371261	341
3	WALKING	Time	Gravity	Acceleration	Z	mean	0.0480937904190616	341
3	WALKING	Time	Gravity	Acceleration	Z	std	-0.926966278211144	341
3	WALKING	Time	Gravity	AccelerationMagnitude	NA	mean	-0.563140802770059	341
3	WALKING	Time	Gravity	AccelerationMagnitude	NA	std	-0.591224780306452	341
4	STANDING	Frequency	Body	Acceleration	X	mean	-0.628806379100946	317
4	STANDING	Frequency	Body	Acceleration	X	std	-0.597551324155678	317
4	STANDING	Frequency	Body	Acceleration	Y	mean	-0.52583456615142	317
4	STANDING	Frequency	Body	Acceleration	Y	std	-0.534661524341987	317
4	STANDING	Frequency	Body	Acceleration	Z	mean	-0.755235428895899	317
4	STANDING	Frequency	Body	Acceleration	Z	std	-0.708764043722397	317
4	STANDING	Frequency	Body	AccelerationJerk	X	mean	-0.652023078038801	317
4	STANDING	Frequency	Body	AccelerationJerk	X	std	-0.644622004704416	317
4	STANDING	Frequency	Body	AccelerationJerk	Y	mean	-0.601696223759495	317
4	STANDING	Frequency	Body	AccelerationJerk	Y	std	-0.593855151524606	317
4	STANDING	Frequency	Body	AccelerationJerk	Z	mean	-0.825154871135647	317
4	STANDING	Frequency	Body	AccelerationJerk	Z	std	-0.860544668359621	317
4	STANDING	Frequency	Body	AccelerationJerkMagnitude	NA	mean	-0.63501900541041	317
4	STANDING	Frequency	Body	AccelerationJerkMagnitude	NA	std	-0.666506718936908	317
4	STANDING	Frequency	Body	AccelerationMagnitude	NA	mean	-0.602098037677603	317
4	STANDING	Frequency	Body	AccelerationMagnitude	NA	std	-0.672948341687697	317
4	STANDING	Frequency	Body	AngularJerkMagnitude	NA	mean	-0.838833209652997	317
4	STANDING	Frequency	Body	AngularJerkMagnitude	NA	std	-0.863096864037855	317
4	STANDING	Frequency	Body	AngularVelocity	X	mean	-0.641881977553943	317
4	STANDING	Frequency	Body	AngularVelocity	X	std	-0.721749187328076	317
4	STANDING	Frequency	Body	AngularVelocity	Y	mean	-0.831527531009464	317
4	STANDING	Frequency	Body	AngularVelocity	Y	std	-0.782885735867508	317
4	STANDING	Frequency	Body	AngularVelocity	Z	mean	-0.689308946422713	317
4	STANDING	Frequency	Body	AngularVelocity	Z	std	-0.7670895729653	317
4	STANDING	Frequency	Body	AngularVelocityMagnitude	NA	mean	-0.745650754608833	317
4	STANDING	Frequency	Body	AngularVelocityMagnitude	NA	std	-0.732586304826498	317
4	STANDING	Time	Body	Acceleration	X	mean	0.274183111498423	317
4	STANDING	Time	Body	Acceleration	X	std	-0.605211727785489	317
4	STANDING	Time	Body	Acceleration	Y	mean	-0.0148081545344921	317
4	STANDING	Time	Body	Acceleration	Y	std	-0.509929384011325	317
4	STANDING	Time	Body	Acceleration	Z	mean	-0.107521430810726	317
4	STANDING	Time	Body	Acceleration	Z	std	-0.709492735962145	317
4	STANDING	Time	Body	AccelerationJerk	X	mean	0.0788637845151419	317
4	STANDING	Time	Body	AccelerationJerk	X	std	-0.631853083289621	317
4	STANDING	Time	Body	AccelerationJerk	Y	mean	0.00351340949514196	317
4	STANDING	Time	Body	AccelerationJerk	Y	std	-0.584063204701893	317
4	STANDING	Time	Body	AccelerationJerk	Z	mean	-0.00737375142832808	317
4	STANDING	Time	Body	AccelerationJerk	Z	std	-0.843353231167192	317
4	STANDING	Time	Body	AccelerationJerkMagnitude	NA	mean	-0.656116311856877	317
4	STANDING	Time	Body	AccelerationJerkMagnitude	NA	std	-0.647249966810726	317
4	STANDING	Time	Body	AccelerationMagnitude	NA	mean	-0.56158213510694	317
4	STANDING	Time	Body	AccelerationMagnitude	NA	std	-0.606556049548896	317
4	STANDING	Time	Body	AngularJerk	X	mean	-0.107859315713249	317
4	STANDING	Time	Body	AngularJerk	X	std	-0.723788617823344	317
4	STANDING	Time	Body	AngularJerk	Y	mean	-0.0400427574662461	317
4	STANDING	Time	Body	AngularJerk	Y	std	-0.902502592618297	317
4	STANDING	Time	Body	AngularJerk	Z	mean	-0.0578089304000631	317
4	STANDING	Time	Body	AngularJerk	Z	std	-0.748369141315457	317
4	STANDING	Time	Body	AngularJerkMagnitude	NA	mean	-0.819191368044164	317
4	STANDING	Time	Body	AngularJerkMagnitude	NA	std	-0.844187064164038	317
4	STANDING	Time	Body	AngularVelocity	X	mean	-0.0289417906907571	317
4	STANDING	Time	Body	AngularVelocity	X	std	-0.701397703369085	317
4	STANDING	Time	Body	AngularVelocity	Y	mean	-0.0787229907785489	317
4	STANDING	Time	Body	AngularVelocity	Y	std	-0.79823574873817	317
4	STANDING	Time	Body	AngularVelocity	Z	mean	0.0957174866009464	317
4	STANDING	Time	Body	AngularVelocity	Z	std	-0.726374197066246	317
4	STANDING	Time	Body	AngularVelocityMagnitude	NA	mean	-0.656291093847319	317
4	STANDING	Time	Body	AngularVelocityMagnitude	NA	std	-0.706738493542587	317
4	STANDING	Time	Gravity	Acceleration	X	mean	0.706593043123028	317
4	STANDING	Time	Gravity	Acceleration	X	std	-0.962636979274448	317
4	STANDING	Time	Gravity	Acceleration	Y	mean	0.112591195496986	317
4	STANDING	Time	Gravity	Acceleration	Y	std	-0.941416800167192	317
4	STANDING	Time	Gravity	Acceleration	Z	mean	0.164130896618297	317
4	STANDING	Time	Gravity	Acceleration	Z	std	-0.941403426072555	317
4	STANDING	Time	Gravity	AccelerationMagnitude	NA	mean	-0.56158213510694	317
4	STANDING	Time	Gravity	AccelerationMagnitude	NA	std	-0.606556049548896	317
5	WALKING	Frequency	Body	Acceleration	X	mean	-0.55123770513245	302
5	WALKING	Frequency	Body	Acceleration	X	std	-0.492829885748675	302
5	WALKING	Frequency	Body	Acceleration	Y	mean	-0.440232431795033	302
5	WALKING	Frequency	Body	Acceleration	Y	std	-0.422162171100331	302
5	WALKING	Frequency	Body	Acceleration	Z	mean	-0.696171811490066	302
5	WALKING	Frequency	Body	Acceleration	Z	std	-0.649351210748344	302
5	WALKING	Frequency	Body	AccelerationJerk	X	mean	-0.604769869438742	302
5	WALKING	Frequency	Body	AccelerationJerk	X	std	-0.584013626983444	302
5	WALKING	Frequency	Body	AccelerationJerk	Y	mean	-0.550991969857417	302
5	WALKING	Frequency	Body	AccelerationJerk	Y	std	-0.491500434303907	302
5	WALKING	Frequency	Body	AccelerationJerk	Z	mean	-0.768762357980132	302
5	WALKING	Frequency	Body	AccelerationJerk	Z	std	-0.798835563807947	302
5	WALKING	Frequency	Body	AccelerationJerkMagnitude	NA	mean	-0.573176177044172	302
5	WALKING	Frequency	Body	AccelerationJerkMagnitude	NA	std	-0.613485123609272	302
5	WALKING	Frequency	Body	AccelerationMagnitude	NA	mean	-0.528503022745033	302
5	WALKING	Frequency	Body	AccelerationMagnitude	NA	std	-0.594259529756954	302
5	WALKING	Frequency	Body	AngularJerkMagnitude	NA	mean	-0.748829309536424	302
5	WALKING	Frequency	Body	AngularJerkMagnitude	NA	std	-0.735610602483444	302
5	WALKING	Frequency	Body	AngularVelocity	X	mean	-0.632239300829801	302
5	WALKING	Frequency	Body	AngularVelocity	X	std	-0.73573857718543	302
5	WALKING	Frequency	Body	AngularVelocity	Y	mean	-0.71706218781457	302
5	WALKING	Frequency	Body	AngularVelocity	Y	std	-0.702290390960265	302
5	WALKING	Frequency	Body	AngularVelocity	Z	mean	-0.537329127293278	302
5	WALKING	Frequency	Body	AngularVelocity	Z	std	-0.669353687483444	302
5	WALKING	Frequency	Body	AngularVelocityMagnitude	NA	mean	-0.677355755703311	302
5	WALKING	Frequency	Body	AngularVelocityMagnitude	NA	std	-0.715731148145695	302
5	WALKING	Time	Body	Acceleration	X	mean	0.279177960301325	302
5	WALKING	Time	Body	Acceleration	X	std	-0.507691011391722	302
5	WALKING	Time	Body	Acceleration	Y	mean	-0.0154833455336192	302
5	WALKING	Time	Body	Acceleration	Y	std	-0.402724906078146	302
5	WALKING	Time	Body	Acceleration	Z	mean	-0.105661736816887	302
5	WALKING	Time	Body	Acceleration	Z	std	-0.646443640175497	302
5	WALKING	Time	Body	AccelerationJerk	X	mean	0.0841019899622517	302
5	WALKING	Time	Body	AccelerationJerk	X	std	-0.575890535679801	302
5	WALKING	Time	Body	AccelerationJerk	Y	mean	0.0017656830384106	302
5	WALKING	Time	Body	AccelerationJerk	Y	std	-0.506544358609603	302
5	WALKING	Time	Body	AccelerationJerk	Z	mean	-0.0029537113427351	302
5	WALKING	Time	Body	AccelerationJerk	Z	std	-0.78456199486755	302
5	WALKING	Time	Body	AccelerationJerkMagnitude	NA	mean	-0.589313870006622	302
5	WALKING	Time	Body	AccelerationJerkMagnitude	NA	std	-0.589031268133113	302
5	WALKING	Time	Body	AccelerationMagnitude	NA	mean	-0.460866415568709	302
5	WALKING	Time	Body	AccelerationMagnitude	NA	std	-0.52162345171192	302
5	WALKING	Time	Body	AngularJerk	X	mean	-0.103522877147351	302
5	WALKING	Time	Body	AngularJerk	X	std	-0.662581310334437	302
5	WALKING	Time	Body	AngularJerk	Y	mean	-0.0490624519374172	302
5	WALKING	Time	Body	AngularJerk	Y	std	-0.774114270364238	302
5	WALKING	Time	Body	AngularJerk	Z	mean	-0.0506258160122517	302
5	WALKING	Time	Body	AngularJerk	Z	std	-0.564680771249007	302
5	WALKING	Time	Body	AngularJerkMagnitude	NA	mean	-0.707383517582782	302
5	WALKING	Time	Body	AngularJerkMagnitude	NA	std	-0.734187493344371	302
5	WALKING	Time	Body	AngularVelocity	X	mean	-0.0294516873643046	302
5	WALKING	Time	Body	AngularVelocity	X	std	-0.709955676983444	302
5	WALKING	Time	Body	AngularVelocity	Y	mean	-0.0774316445596026	302
5	WALKING	Time	Body	AngularVelocity	Y	std	-0.705638306688742	302
5	WALKING	Time	Body	AngularVelocity	Z	mean	0.0866267116745033	302
5	WALKING	Time	Body	AngularVelocity	Z	std	-0.606589817380795	302
5	WALKING	Time	Body	AngularVelocityMagnitude	NA	mean	-0.602770284825828	302
5	WALKING	Time	Body	AngularVelocityMagnitude	NA	std	-0.664078383532781	302
5	WALKING	Time	Gravity	Acceleration	X	mean	0.698153719072848	302
5	WALKING	Time	Gravity	Acceleration	X	std	-0.964629108807947	302
5	WALKING	Time	Gravity	Acceleration	Y	mean	0.112313109736755	302
5	WALKING	Time	Gravity	Acceleration	Y	std	-0.939973777950331	302
5	WALKING	Time	Gravity	Acceleration	Z	mean	0.0921607197449904	302
5	WALKING	Time	Gravity	Acceleration	Z	std	-0.94207867884106	302
5	WALKING	Time	Gravity	AccelerationMagnitude	NA	mean	-0.460866415568709	302
5	WALKING	Time	Gravity	AccelerationMagnitude	NA	std	-0.52162345171192	302
6	WALKING	Frequency	Body	Acceleration	X	mean	-0.506174926221538	325
6	WALKING	Frequency	Body	Acceleration	X	std	-0.506680276530492	325
6	WALKING	Frequency	Body	Acceleration	Y	mean	-0.392041410138769	325
6	WALKING	Frequency	Body	Acceleration	Y	std	-0.396677793847908	325
6	WALKING	Frequency	Body	Acceleration	Z	mean	-0.683725945015385	325
6	WALKING	Frequency	Body	Acceleration	Z	std	-0.694365207233846	325
6	WALKING	Frequency	Body	AccelerationJerk	X	mean	-0.549394273848923	325
6	WALKING	Frequency	Body	AccelerationJerk	X	std	-0.555346159400332	325
6	WALKING	Frequency	Body	AccelerationJerk	Y	mean	-0.503558973703692	325
6	WALKING	Frequency	Body	AccelerationJerk	Y	std	-0.437837459287385	325
6	WALKING	Frequency	Body	AccelerationJerk	Z	mean	-0.720867157741538	325
6	WALKING	Frequency	Body	AccelerationJerk	Z	std	-0.755751144098462	325
6	WALKING	Frequency	Body	AccelerationJerkMagnitude	NA	mean	-0.494882316238462	325
6	WALKING	Frequency	Body	AccelerationJerkMagnitude	NA	std	-0.516711262173969	325
6	WALKING	Frequency	Body	AccelerationMagnitude	NA	mean	-0.473974924380431	325
6	WALKING	Frequency	Body	AccelerationMagnitude	NA	std	-0.570910289993846	325
6	WALKING	Frequency	Body	AngularJerkMagnitude	NA	mean	-0.651886909221538	325
6	WALKING	Frequency	Body	AngularJerkMagnitude	NA	std	-0.660175875210246	325
6	WALKING	Frequency	Body	AngularVelocity	X	mean	-0.537201442069846	325
6	WALKING	Frequency	Body	AngularVelocity	X	std	-0.692862440004	325
6	WALKING	Frequency	Body	AngularVelocity	Y	mean	-0.621188724858462	325
6	WALKING	Frequency	Body	AngularVelocity	Y	std	-0.633236229753846	325
6	WALKING	Frequency	Body	AngularVelocity	Z	mean	-0.507604207506462	325
6	WALKING	Frequency	Body	AngularVelocity	Z	std	-0.67302031484	325
6	WALKING	Frequency	Body	AngularVelocityMagnitude	NA	mean	-0.579130051151385	325
